trade_index,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,pnl_pct,leverage,entry_fee,exit_fee,funding_fee,liquidated
108,2024-10-01 14:00:00+00:00,2024-10-01 20:00:00+00:00,buy,62619.59415,60748.31065,0.07988713545502914,-151.8432743150141,-0.1518432743150141,5.0,2.50125,2.4265042607803693,0.0,False
109,2024-10-01 20:00:00+00:00,2024-10-07 00:00:00+00:00,buy,60809.089349999995,63616.07605,0.08226566214808807,228.18650859766547,0.22818650859766546,5.0,2.50125,2.6167093097581886,0.0,False
110,2024-10-09 18:00:00+00:00,2024-10-10 17:00:00+00:00,buy,61204.787099999994,59559.205500000004,0.0817338028122967,-136.8664259720434,-0.1368664259720434,5.0,2.50125,2.434000178997029,0.0,False
111,2024-10-10 17:00:00+00:00,2024-10-11 15:00:00+00:00,buy,59618.794499999996,62186.891,0.08390810384466932,212.76742754143217,0.21276742754143216,5.0,2.50125,2.608992053902566,0.0,False
112,2024-10-21 13:00:00+00:00,2024-10-23 16:00:00+00:00,buy,67363.76505,65834.56625,0.07426099174069249,-115.94753801298705,-0.11594753801298706,5.0,2.50125,2.444470090271661,0.0,False
113,2024-10-23 16:00:00+00:00,2024-10-28 09:00:00+00:00,buy,65900.43375,68513.9259,0.07590997077466125,195.69052218632254,0.19569052218632255,5.0,2.5012499999999998,2.600445056363153,0.0,False
114,2024-10-31 13:00:00+00:00,2024-11-01 01:00:00+00:00,buy,71357.8611,69390.18755,0.07010439947169325,-140.3059144749141,-0.14030591447491408,5.0,2.50125,2.432278713710458,0.0,False
115,2024-11-01 01:00:00+00:00,2024-11-03 13:00:00+00:00,buy,69459.61244999999,68000.88255,0.07202026938461562,-107.45433848843977,-0.10745433848843977,5.0,2.50125,2.4487209398213037,0.0,False
116,2024-11-04 16:00:00+00:00,2024-11-06 00:00:00+00:00,buy,67770.76844999999,71023.07070000001,0.07381501072532107,237.32746672745955,0.23732746672745955,5.0,2.50125,2.6212843627328684,0.0,False
117,2024-11-12 10:00:00+00:00,2024-11-13 14:00:00+00:00,buy,87015.58605,91517.2185,0.057489700720115985,256.0375194672024,0.2560375194672024,5.0,2.5012499999999998,2.630648751151231,0.0,False
118,2024-11-14 15:00:00+00:00,2024-11-15 21:00:00+00:00,buy,88044.0,91681.73620000001,0.056818181818181816,203.98166890793038,0.20398166890793037,5.0,2.50125,2.6045947784090915,0.0,False
119,2024-11-24 15:00:00+00:00,2024-11-25 21:00:00+00:00,buy,96034.39319999999,93793.08,0.05209071285098723,-119.13612988133035,-0.11913612988133035,5.0,2.50125,2.442874198844837,0.0,False
120,2024-11-25 21:00:00+00:00,2024-11-26 19:00:00+00:00,buy,93886.92,91714.12000000001,0.05328218243819267,-118.15703340411999,-0.11815703340411998,5.0,2.50125,2.4433642369991477,0.0,False
121,2024-11-26 20:00:00+00:00,2024-11-27 14:00:00+00:00,buy,91169.76209999999,94847.35260000001,0.054870166212707495,199.08701241756725,0.19908701241756724,5.0,2.50125,2.6021450009986373,0.0,False
122,2024-12-02 08:00:00+00:00,2024-12-05 02:00:00+00:00,buy,95170.66155,101489.82970000002,0.05256346775914578,329.32406692367823,0.3293240669236782,5.0,2.50125,2.667328695658573,0.0,False
123,2024-12-05 15:00:00+00:00,2024-12-05 19:00:00+00:00,buy,101400.77505,99062.04420000002,0.049333942443076026,-117.76471316088961,-0.11776471316088961,5.0,2.5012499999999998,2.4435605934281273,0.0,False
124,2024-12-05 19:00:00+00:00,2024-12-05 22:00:00+00:00,buy,99161.1558,96568.29170000002,0.05044818164574076,-133.17575650539675,-0.13317575650539676,5.0,2.50125,2.4358473604502406,0.0,False
125,2024-12-05 22:00:00+00:00,2024-12-06 17:00:00+00:00,buy,96664.9083,100864.7424,0.051750941349623145,214.62682712824792,0.21462682712824793,5.0,2.5012499999999998,2.6099226840936236,0.0,False
126,2024-12-09 15:00:00+00:00,2024-12-10 15:00:00+00:00,buy,97904.928,95640.05605,0.05109548724656638,-118.11029001722024,-0.11811029001722023,5.0,2.50125,2.4433876320818344,0.0,False
127,2024-12-10 17:00:00+00:00,2024-12-11 13:00:00+00:00,buy,94552.65269999999,98675.4376,0.0529070296512157,215.40498315075902,0.215404983150759,5.0,2.50125,2.6103121514749423,0.0,False
128,2024-12-12 19:00:00+00:00,2024-12-15 23:00:00+00:00,buy,99504.82755,104408.1698,0.050273942713847754,243.76264863229503,0.24376264863229502,5.0,2.50125,2.624505173691445,0.0,False
129,2024-12-18 01:00:00+00:00,2024-12-18 19:00:00+00:00,buy,105346.04669999999,102730.70895000001,0.04748635716958518,-126.56995068578188,-0.12656995068578186,5.0,2.50125,2.4391535687422006,0.0,False
130,2024-12-18 20:00:00+00:00,2024-12-19 17:00:00+00:00,buy,100886.51805,98766.49205,0.049585416334031164,-107.51852574458091,-0.10751852574458091,5.0,2.50125,2.4486888140755148,0.0,False
